TITLE,RESTAURANT_ID,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
QUICK BITES,2939,"Kerala, Biryani",10am – 10pm (Mon-Sun),Kochi,Kakkanad,-,,250
QUICK BITES,10908,South Indian,6:30am – 7:30pm (Mon-Sun),Kochi,Marine Drive,-,,150
BEVERAGE SHOP,9703,"Beverages, Desserts",11am – 12midnight (Mon-Sun),Chennai,Chetpet,NEW,,350
QUICK BITES,7273,"North Indian, Street Food","11:30am – 3:30am (Mon),11:30am – 3:30pm, 6:30pm...",Chennai,Thiruvanmiyur,3.4,55 votes,200
"BAR,CASUAL DINING",6884,"North Indian, Continental, Italian",10am – 12midnight (Mon-Sun),Hyderabad,Jubilee Hills,4.4,168 votes,1500
BAKERY,12191,"Bakery, Desserts, Beverages",10am – 9pm (Mon-Sun),Gurgaon,Golf Course Road,4.1,403 votes,500
QUICK BITES,1889,"Continental, Chinese",9:30am – 10:45pm (Mon-Sun),Noida,Sector 37,4.2,1762 votes,400
BAR,11079,"Continental, North Indian","4pm – 12midnight (Mon, Tue, Wed, Thu, Sun), 4pm...",Hyderabad,Hitech City,3.8,199 votes,1000
DESSERT PARLOR,15320,"Desserts, Beverages",10am – 1am (Mon-Sun),Mumbai,Vile Parle East,NEW,,300
"CAFÉ,BAR",2327,"North Indian, Chinese, Continental, Italian",11am – 12midnight (Mon-Sun),Dwarka,Sector 12,4.2,1485 votes,1200
CASUAL DINING,2980,"North Indian, South Indian",11am – 11pm (Mon-Sun),Marine Drive,Kochi Ernakulam,NEW,,400
BEVERAGE SHOP,6860,"Beverages, Fast Food",11am – 10pm (Mon-Sun),Bangalore,Cunningham Road,3.8,30 votes,400
QUICK BITES,9196,"North Indian, Chinese, South Indian, Biryani",12noon – 4am (Mon-Sun),Chennai,Ramapuram,NEW,,250
CASUAL DINING,13248,"Biryani, Chinese, North Indian, Arabian, Bengali, Desserts, Beverages","8am – 10am, 12noon – 11:30pm (Mon-Sun)",Chennai,Medavakkam,3.4,25 votes,400
QUICK BITES,9198,"Italian, Pizza, Beverages, Fast Food","12noon – 11pm (Mon),12noon – 3am (Tue-Sun)",New Delhi,Lajpat Nagar 1,4.3,634 votes,700
"DESSERT PARLOR,QUICK BITES",4873,"Ice Cream, Desserts, Fast Food",12noon – 1am (Mon-Sun),Chennai,Alwarpet,3.8,158 votes,300
QUICK BITES,10890,Fast Food,9am – 9pm (Mon-Sun),Mumbai,Fort,3.8,57 votes,200
QUICK BITES,7785,"Mughlai, North Indian",12noon – 11pm (Mon-Sun),DLF Galleria,1st Floor,3.8,374 votes,600
BAKERY,4348,"Bakery, Desserts",8am – 9pm (Mon-Sun),Kochi,Fort Kochi,NEW,,300
"CAFÉ,CASUAL DINING",4466,"Cafe, Continental, North Indian",11am – 11pm (Mon-Sun),New Delhi,Satyaniketan,4.3,438 votes,600
None,7295,North Indian,"8am – 11am, 12noon – 10:30pm (Mon-Sun)",Bangalore,HSR,3.3,4 votes,200
QUICK BITES,4527,Street Food,11am – 4am (Mon-Sun),New Delhi,Civil Lines,3.8,32 votes,100
BEVERAGE SHOP,8279,Beverages,9:30am – 2am (Mon-Sun),Bangalore,Koramangala 5th Block,4.4,66 votes,400
CAFÉ,6931,"Cafe, Italian, Coffee","9am – 10pm (Mon-Fri),8am – 10pm (Sat-Sun)",Bangalore,Ulsoor,4.1,57 votes,750
QUICK BITES,4035,South Indian,8am – 11pm (Mon-Sun),Chennai,T. Nagar,3.1,37 votes,150
FINE DINING,14462,"North Indian, Continental, Chinese, Thai, Maharashtrian",6:30am – 12:30AM (Mon-Sun),Mumbai,Powai,4.4,749 votes,3000
None,7916,Bihari,11am – 12midnight (Mon-Sun),,,NEW,,400
BAKERY,2302,Bakery,11am – 11pm (Mon-Sun),Bangalore,Rajarajeshwari Nagar,3.9,100 votes,500
CASUAL DINING,6693,"Asian, Chinese, Japanese, Sri Lankan, Singaporean, Malaysian, Indonesian",11am – 1am (Mon-Sun),Navi Mumbai,CBD-Belapur,4.4,209 votes,1500
CASUAL DINING,15480,"Kerala, Arabian",4am – 9pm (Mon-Sun),Kochi,Fort Kochi,-,,200
CASUAL DINING,8379,Arabian,12:30pm – 1am (Mon-Sun),Hyderabad,Manikonda,3.5,1117 votes,400
DHABA,12129,"North Indian, Biryani",11am – 12:30AM (Mon-Sun),Hyderabad.,Kukatpally,3.2,169 votes,400
CASUAL DINING,11004,"Seafood, Biryani, North Indian, Chinese",11:30am – 12midnight (Mon-Sun),Secunderabad,Uppal,3.6,826 votes,700
QUICK BITES,7543,Kerala,6:30am – 10pm (Mon-Sun),Kochi,Thevera,-,,100
CASUAL DINING,2988,"North Indian, Chinese, Mughlai",11am – 11pm (Mon-Sun),Chennai,Besant Nagar,3.1,145 votes,650
None,10091,"Fast Food, North Indian",11am – 11pm (Mon-Sun),New Delhi,Connaught Place,3.9,145 votes,150
QUICK BITES,13267,"Italian, Pizza",3pm – 12midnight (Mon-Sun),Secunderabad,Moula Ali,3.6,193 votes,300
QUICK BITES,3051,"Biryani, Kebab",10am – 11pm (Mon-Sun),Bangalore,HSR,NEW,,350
QUICK BITES,5702,Fast Food,11am – 11pm (Mon-Sun),Hyderabad,Dilsukhnagar,2.9,68 votes,150
DHABA,8837,North Indian,11am – 11pm (Mon-Sun),New Delhi,West Patel Nagar,3.9,678 votes,400
QUICK BITES,4096,"Kerala, South Indian",11am – 11pm (Mon-Sun),Kochi,Angamali,NEW,,250
CASUAL DINING,10119,"North Indian, South Indian, Kebab","12midnight – 1am, 12noon – 12midnight...",Hyderabad,Kukatpally,3.6,361 votes,600
CASUAL DINING,1316,"North Indian, Chinese","12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)",Bangalore,Nagawara,4.1,931 votes,1200
QUICK BITES,1841,"Biryani, Hyderabadi",12noon – 11pm (Mon-Sun),Bangalore,BTM,3.4,8 votes,400
QUICK BITES,11284,Biryani,11am – 11pm (Mon-Sun),Chennai,Vepery,3.1,93 votes,400
CASUAL DINING,11275,"Kerala, South Indian",11am – 11pm (Mon-Sun),Kochi,Thopumpady,3.0,9 votes,400
QUICK BITES,7521,"South Indian, Chinese","11:30am – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)",Hyderabad,Miyapur,3.2,126 votes,300
QUICK BITES,327,Chinese,"12noon – 3:30pm, 6:30pm – 12:30AM (Mon-Sun)",Mumbai,Sakinaka,4.3,61 votes,250
DESSERT PARLOR,4910,"Juices, Desserts",10am – 11pm (Mon-Sun),Secunderabad,Marredpally,4.1,170 votes,200
CAFÉ,13535,"Cafe, Sandwich, Beverages, Tea, Coffee, Desserts",10am – 12midnight (Mon-Sun),Andheri West,Andheri Lokhandwala,4.4,242 votes,400
CASUAL DINING,11449,"North Indian, Biryani",12noon – 11:30pm (Mon-Sun),Hyderabad,Abids,4.1,606 votes,800
QUICK BITES,10043,North Indian,"8am – 4pm (Mon-Fri),8am – 6pm (Sat-Sun)",New Delhi,Near Rohini,4.0,480 votes,100
BAKERY,1353,Bakery,11am – 6pm (Mon-Sun),Hyderabad,Jubilee Hills,3.9,45 votes,350
QUICK BITES,2828,"Tea, Fast Food, Sandwich, Beverages",10am – 11pm (Mon-Sun),Hyderabad,Hitech City,3.6,154 votes,300
CASUAL DINING,5019,"Cafe, Italian, Continental","11am – 3pm, 6:30pm – 10:30pm (Mon, Tue, Wed...",Mumbai,Near Andheri East Station,3.6,19 votes,2200
QUICK BITES,3145,"Chinese, Fast Food, Italian, Momos",11am – 11pm (Mon-Sun),New Delhi,Paschim Vihar,4.7,391 votes,450
"QUICK BITES,DESSERT PARLOR",12587,"Italian, Desserts",11am – 11pm (Mon-Sun),Hyderabad,Dilsukhnagar,3.5,53 votes,450
CASUAL DINING,3327,"Arabian, North Indian, Kerala, Chinese",11am – 10pm (Mon-Sun),Kochi,Edappally,3.5,192 votes,400
CASUAL DINING,3338,"Italian, European, Modern Indian, Asian, North Indian, Beverages,","12noon – 3pm, 6:30pm – 12:30AM (Mon-Sun)",Thane,Ghodbunder Road,4.1,475 votes,1300
None,5453,"Fast Food, Street Food, Rolls","9am – 3:30pm, 4pm – 10pm (Mon-Sun)",New Delhi,Punjabi Bagh,3.9,268 votes,300
QUICK BITES,13940,"Rolls, Chinese",12:30pm – 11:30pm (Mon-Sun),Chennai,Gopalapuram,4.1,379 votes,300
"DESSERT PARLOR,BEVERAGE SHOP",7687,"Ice Cream, Beverages",10am – 8pm (Mon-Sun),Kochi,Marine Drive,-,,200
CASUAL DINING,5203,"Chinese, North Indian, Mangalorean","11am – 4pm, 6pm – 12midnight (Mon-Sun)",Mumbai,Mira Road,3.5,21 votes,600
QUICK BITES,5676,"Beverages, Desserts, Continental, Healthy Food",11am – 3:30am (Mon-Sun),New Delhi,Janakpuri,4.2,291 votes,500
QUICK BITES,15036,South Indian,7am – 10pm (Mon-Sun),Bangalore,Basavanagudi,4.1,67 votes,150
"CASUAL DINING,BAR",233,Continental,4pm – 12midnight (Mon-Sun),Chennai,Nungambakkam,3.7,186 votes,1500
None,14697,"Biryani, North Indian, Mughlai",11:30am – 10:30pm (Mon-Sun),Gurgaon,Sector 44,NEW,,500
QUICK BITES,10801,North Indian,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",New Delhi,Uttam Nagar,3.7,93 votes,200
CASUAL DINING,1264,North Indian,"Closed (Mon),12noon – 11pm (Tue-Sun)",Bangalore,JP Nagar,3.8,81 votes,1000
QUICK BITES,475,"Arabian, Lebanese",12noon – 2am (Mon-Sun),Hyderabad,Adikmet,3.5,870 votes,400
LOUNGE,12784,Finger Food,11am – 11pm (Mon-Sun),Secunderabad,S D Road,3.6,74 votes,1500
QUICK BITES,1251,"Mughlai, Fast Food",4pm – 11pm (Mon-Sun),Gurgaon,Sector 37,NEW,,250
QUICK BITES,11368,Fast Food,10:30am – 10:30pm (Mon-Sun),Secunderabad,Malkajgiri,3.6,54 votes,300
QUICK BITES,5542,"Biryani, North Indian, Chinese",11:30am – 11pm (Mon-Sun),Chennai,Potheri,3.8,109 votes,300
KIOSK,14798,South Indian,7pm – 11pm (Mon-Sun),Kochi,Ramaswamy Colony,3.6,12 votes,200
CASUAL DINING,6819,"Asian, Malaysian","12noon – 3:30pm, 7pm – 11:30pm (Mon-Fri),12noon...",New Delhi,Khel Gaon Marg,4.2,804 votes,1800
QUICK BITES,14522,Seafood,1pm – 11pm (Mon-Sun),Chennai,Triplicane,3.8,60 votes,400
CASUAL DINING,343,"Kerala, North Indian, Chinese, South Indian, Spanish",24 Hours (Mon-Sun),Kochi,Nedumbassery,3.5,21 votes,350
DESSERT PARLOR,3480,"Desserts, Ice Cream, Beverages","11am – 1am (Mon-Thu),11am – 2am (Fri-Sun)",Bangalore,Marathahalli,4.1,533 votes,500
FINE DINING,4354,North Indian,"Closed (Mon-Tue),6:30pm – 11pm (Wed-Sun)",Kochi,Marad,4.0,39 votes,2000
CASUAL DINING,4381,"Chinese, South Indian",12noon – 11pm (Mon-Sun),Nallathambi Main Road,14/90,3.1,38 votes,400
QUICK BITES,4188,"Chinese, North Indian",6am – 4am (Mon-Sun),Hyderabad,Madhapur,4.1,1361 votes,450
CASUAL DINING,9566,Kerala,8am – 11pm (Mon-Sun),Kochi,Willingdon Island,-,,400
None,4818,"North Indian, Chinese, South Indian, Beverages",10am – 12midnight (Mon-Sun),Bangalore,Whitefield,NEW,,300
QUICK BITES,3768,Biryani,"10am – 9pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed...",New Delhi,Uttam Nagar,NEW,,200
"BAR,CASUAL DINING",4150,"North Indian, Chinese, Italian, Continental",12noon – 12midnight (Mon-Sun),New Delhi,Punjabi Bagh,3.8,549 votes,1200
CASUAL DINING,14569,"Kerala, South Indian",8am – 6pm (Mon-Sun),Kochi,Mattancherry,-,,400
CASUAL DINING,12514,"Continental, North Indian, South Indian, Chinese, Desserts",6:30am – 11pm (Mon-Sun),Chennai,Thousand Lights,3.5,39 votes,1100
KIOSK,14298,"Sandwich, Pizza, Fast Food",4pm – 10pm (Mon-Sun),Chennai,Old Pallavaram,3.8,52 votes,200
CASUAL DINING,5932,"North Indian, Chinese, Biryani",11am – 11:30pm (Mon-Sun),Chennai,Vandalur,2.8,131 votes,350
CASUAL DINING,4328,Italian,"12noon – 3:30pm, 7pm – 12midnight (Mon-Sun)",New Delhi,New Friends Colony,3.9,305 votes,1900
CASUAL DINING,8392,"Mangalorean, Seafood","12noon – 3pm, 7pm – 11pm (Mon, Wed, Thu, Fri...",Bangalore,Frazer Town,4.3,1387 votes,700
QUICK BITES,1716,Chinese,11:30am – 1:30am (Mon-Sun),Navi Mumbai,Kharghar,NEW,,300
CASUAL DINING,6269,"North Indian, South Indian, Chinese",11am – 11pm (Mon-Sun),Secunderabad,Uppal,4.1,3009 votes,750
CASUAL DINING,5930,"Mughlai, North Indian, Chinese, Seafood, Beverages",8:30am – 12midnight (Mon-Sun),Mumbai,Kurla,3.6,110 votes,500
CASUAL DINING,12981,North Indian,12noon – 11:30pm (Mon-Sun),New Delhi,Shahdara,3.4,38 votes,1000
CASUAL DINING,1956,"Continental, Chinese, North Indian, South Indian",7:30am – 11pm (Mon-Sun),Kochi,Chullickal,-,,600
QUICK BITES,1089,Kerala,11am – 9:30pm (Mon-Sun),Kochi,Elamakkara,-,,250
None,12736,South Indian,8am – 10pm (Mon-Sun),Hyderabad,Madhapur,2.8,90 votes,250
FINE DINING,13961,"Konkan, South Indian, Seafood","12:30pm – 3pm, 7pm – 12midnight (Mon-Fri),7am...",Mumbai,Cuffe Parade,4.2,378 votes,4200
QUICK BITES,10750,"Mughlai, Biryani, Chinese",11am – 11pm (Mon-Sun),Secunderabad,Near Uppal,3.7,482 votes,350
"CAFÉ,BAR",7142,"German, European, American, Thai",9am – 1:30am (Mon-Sun),Mumbai,Colaba,4.2,171 votes,1500
CASUAL DINING,6265,"Mangalorean, Seafood, Chinese, North Indian","11am – 4pm, 7pm – 11pm (Mon-Thu),11am – 4pm...",Bangalore,Richmond Road,4.4,732 votes,1000
QUICK BITES,7148,Street Food,5pm – 9:30pm (Mon-Sun),Bangalore,Jayanagar,3.9,66 votes,100
QUICK BITES,9295,"North Indian, Chinese, South Indian","11am – 4pm, 7pm – 11pm (Mon-Sun)",Bangalore,Old Airport Road,3.5,30 votes,350
QUICK BITES,13012,North Indian,"11am – 4pm, 7pm – 11pm (Mon-Sun)",New Delhi,Daryaganj,3.9,181 votes,350
"BEVERAGE SHOP,QUICK BITES",11839,"Beverages, Fast Food",9:30am – 11pm (Mon-Sun),Kochi,Kakkanad,4.0,80 votes,300
DESSERT PARLOR,9333,Ice Cream,11am – 12midnight (Mon-Sun),New Delhi,Outer Circle Connaught Place,4.5,3871 votes,150
QUICK BITES,4715,Fast Food,10am – 9pm (Mon-Sun),Mumbai,Virar West,NEW,,350
CASUAL DINING,612,"Biryani, North Indian, Chinese, Hyderabadi, Arabian",11am – 12midnight (Mon-Sun),Hyderabad,S R Nagar,3.7,504 votes,700
None,9494,Mughlai,3pm – 11pm (Mon-Sun),New Delhi,Subhash Nagar,3.8,57 votes,400
"CASUAL DINING,BAR",3389,"North Indian, South Indian, Seafood, Cafe",12noon – 1am (Mon-Sun),Gurgaon,Golf Course Road,4.3,196 votes,2000
CASUAL DINING,6987,"North Indian, Biryani, Afghan",12noon – 1:30am (Mon-Sun),Hyderabad,Tolichowki,4.0,472 votes,850
QUICK BITES,3975,North Indian,10am – 11pm (Mon-Sun),Greater Noida,Gaur City 2,NEW,,250
FINE DINING,7675,"Continental, Mediterranean, European, Italian",6pm – 11pm (Mon-Sun),Gurgaon,Sector 29,4.3,113 votes,2500
LOUNGE,12298,"North Indian, Chinese, Italian",11:30am – 12:30AM (Mon-Sun),Dwarka,Sector 4,4.3,463 votes,1500
CASUAL DINING,2242,"Burger, Sandwich, Rolls",11am – 12midnight (Mon-Sun),Hyderabad,Jubilee Hills,4.1,196 votes,1000
None,3784,North Indian,7am – 4am (Mon-Sun),,,3.4,14 votes,200
QUICK BITES,190,North Indian,12noon – 12midnight (Mon-Sun),Hyderabad,Himayath Nagar,NEW,,200
None,15229,Fast Food,8am – 12:30AM (Mon-Sun),Hyderabad,Gachibowli,3.9,376 votes,250
CAFÉ,13298,Cafe,10am – 10pm (Mon-Sun),Chennai,Mylapore,3.4,12 votes,300
CASUAL DINING,8715,"Kerala, Chinese, North Indian",8am – 11pm (Mon-Sun),Kochi,Marad,3.4,20 votes,500
QUICK BITES,10422,"Street Food, Juices","10:30am – 7:30pm (Mon-Sat),Closed (Sun)",Bangalore,Residency Road,3.1,29 votes,300
QUICK BITES,4913,"North Indian, Chinese, South Indian",6pm – 11pm (Mon-Sun),Chennai,Valasaravakkam,2.9,26 votes,350
CASUAL DINING,329,"Malwani, Seafood","12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",Mumbai,Dadar West,3.8,488 votes,600
QUICK BITES,5862,South Indian,7am – 1:30am (Mon-Sun),Chennai,Vadapalani,2.8,32 votes,300
"CASUAL DINING,BAR",4155,"Continental, Italian, North Indian","11am – 11pm (Mon-Thu),11am – 12:30AM (Fri-Sun)",Chennai,Palavakkam,3.8,349 votes,1000
BAR,10243,"Drinks Only, Finger Food",11am – 12midnight (Mon-Sun),Chennai,Gopalapuram,3.6,29 votes,1200
DESSERT PARLOR,3692,Ice Cream,12noon – 2am (Mon-Sun),Hyderabad,Nagole,3.8,194 votes,200
CASUAL DINING,3057,"Mexican, American, Tex-Mex, Burger, Salad",12noon – 11pm (Mon-Sun),Hyderabad,Banjara Hills,4.8,4635 votes,1400
CASUAL DINING,5927,"North Indian, Chinese, Biryani, Andhra",12noon – 12midnight (Mon-Sun),Secunderabad,Alwal,4.1,913 votes,800
BAKERY,3384,Bakery,7am – 10pm (Mon-Sun),Kochi,Chullickal,-,,150
CASUAL DINING,15493,"North Indian, Arabian",8am – 12midnight (Mon-Sun),Kochi,Aluva,NEW,,300
CASUAL DINING,2734,"North Indian, Chinese, Continental",7am – 11:30pm (Mon-Sun),Hyderabad,Jubilee Hills,2.8,65 votes,700
QUICK BITES,11523,"Healthy Food, Fast Food, Salad",8:30am – 11pm (Mon-Sun),New Delhi,Vasant Vihar,3.9,286 votes,500
QUICK BITES,15340,"Chinese, North Indian, Arabian, Biryani",11am – 11pm (Mon-Sun),Chennai,Medavakkam,3.3,115 votes,250
CASUAL DINING,7262,"Kerala, Arabian, Seafood",7am – 11:30pm (Mon-Sun),Kochi,Kakkanad,3.0,277 votes,500
"LOUNGE,CASUAL DINING",3605,"European, Modern Indian, Asian",12:30pm – 1am (Mon-Sun),New Delhi,Mehrauli,4.0,946 votes,2400
CASUAL DINING,8919,"North Indian, Italian, Chinese, Asian, Beverages, Continental, Desserts",12noon – 11:30pm (Mon-Sun),Navi Mumbai,Vashi,4.0,284 votes,1000
QUICK BITES,2230,"Burger, Fast Food",10:30am – 10pm (Mon-Sun),Chennai,Venkat Narayana Road T. Nagar,3.5,23 votes,200
QUICK BITES,1024,"South Indian, North Indian, Chinese",5:30am – 10:30pm (Mon-Sun),Bangalore,HSR Layout,3.4,10 votes,100
QUICK BITES,8929,Fast Food,4:30pm – 3am (Mon-Sun),Mumbai,Borivali West,4.0,398 votes,600
None,14968,South Indian,7am – 11pm (Mon-Sun),Bangalore,Begur Hobli,3.9,44 votes,250
FINE DINING,14924,"North Indian, Continental, Asian",12:30pm – 3:30pm (Mon-Sun),Chennai,Guindy,4.3,501 votes,3400
CASUAL DINING,11037,"North Indian, Chinese, Mughlai",12noon – 12:30AM (Mon-Sun),Thane,Kalyan West. Kalyan,3.7,146 votes,700
CASUAL DINING,13296,"Chinese, Thai, Asian",11:30am – 11:30pm (Mon-Sun),New Delhi,Model Town 2,3.8,115 votes,600
QUICK BITES,4740,"North Indian, Chinese, Biryani",11:30am – 11:30pm (Mon-Sun),Hyderabad,Kondapur,2.8,1133 votes,500
CASUAL DINING,11569,"Chinese, North Indian, Kerala, South Indian",11:30am – 1am (Mon-Sun),Chennai,Velachery,4.3,984 votes,800
FINE DINING,6679,"North Indian, Asian, Continental, Italian, Desserts",24 Hours (Mon-Sun),Mumbai,Chakala,4.6,1771 votes,4000
CASUAL DINING,3901,"Chinese, North Indian, Kebab","11am – 4pm, 7pm – 1am (Mon-Sun)",New Delhi,Rajouri Garden,4.3,1188 votes,1500
QUICK BITES,10167,Bihari,12noon – 12midnight (Mon-Sun),Ghaziabad,Crossing Republik,NEW,,800
CASUAL DINING,11303,"North Indian, South Indian, Chinese, Biryani",24 Hours (Mon-Sun),Hyderabad,Chandrayangutta,4.3,207 votes,500
BEVERAGE SHOP,11927,"Beverages, Sandwich",12noon – 11pm (Mon-Sun),Bangalore,Jayanagar,4.5,159 votes,300
QUICK BITES,2307,"North Indian, Mughlai, Chinese","11am – 4pm, 6pm – 11pm (Mon-Sun)",New Delhi,Kirti Nagar,3.8,238 votes,450
CASUAL DINING,418,Biryani,11am – 11pm (Mon-Sun),Chennai,Mylapore,3.6,60 votes,200
QUICK BITES,14702,South Indian,"Closed (Mon),7am – 2:30pm, 4pm – 10pm (Tue-Sun)",Mumbai,Matunga East,4.1,552 votes,150
QUICK BITES,13150,"Mexican, Fast Food",11am – 11pm (Mon-Sun),Gurgaon,DLF Cyber City,4.0,903 votes,550
CASUAL DINING,9897,Italian,"12:30pm – 2:45pm, 6:30pm – 11:30pm (Mon-Sun)",Madhapur,Opposite Inorbit Mall,3.8,59 votes,3000
None,8527,"Arabian, Middle Eastern",9am – 10pm (Mon-Sun),Chennai,Park Town,4.1,59 votes,500
"CAFÉ,DESSERT PARLOR",3503,"Cafe, Desserts",11am – 11pm (Mon-Sun),Chennai,Kilpauk,4.0,87 votes,150
QUICK BITES,14598,"South Indian, Beverages","7:30am – 12noon, 4pm – 10:30pm (Mon-Sun)",Bangalore,HSR,3.7,12 votes,300
QUICK BITES,9129,"Biryani, Chinese, Fast Food, North Indian",11am – 12midnight (Mon-Sun),Secunderabad,Uppal,3.6,3815 votes,500
QUICK BITES,6976,"North Indian, Chinese, Arabian, BBQ, Middle Eastern",11am – 11pm (Mon-Sun),Bangalore,Thippasandra,3.8,320 votes,400
None,11835,South Indian,6pm – 12midnight (Mon-Sun),Chennai,Kilpauk,3.7,63 votes,200
CASUAL DINING,3582,South Indian,"9:30am – 11:30pm (Mon-Sat),10am – 11:30pm (Sun)",Mumbai,Vile Parle East,4.2,189 votes,300
"PUB,BAR",2948,"Continental, Finger Food, Pizza, North Indian, Bar Food",12noon – 1am (Mon-Sun),Bangalore,Koramangala 4th Block,4.2,148 votes,1100
QUICK BITES,4056,"Pizza, Desserts",11am – 11pm (Mon-Sun),New Delhi,Karol Bagh,3.6,26 votes,400
DESSERT PARLOR,2591,"Bakery, Fast Food, Desserts",11am – 11pm (Mon-Sun),Secunderabad,Karkhana,3.3,45 votes,250
DESSERT PARLOR,7643,Ice Cream,12noon – 12midnight (Mon-Sun),Mumbai,Kandivali West,4.1,60 votes,300
QUICK BITES,3026,"Continental, North Indian, Mughlai, Kerala",(Mon-Sun),Kochi,Kaloor,2.9,13 votes,250
CASUAL DINING,1704,"Bengali, Mughlai",12noon – 10:30pm (Mon-Sun),Bangalore,Koramangala 6th Block,4.1,1973 votes,650
CASUAL DINING,14501,"Continental, Mexican, North Indian",12noon – 12midnight (Mon-Sun),Mumbai,Borivali West,4.5,2037 votes,800
QUICK BITES,622,"Biryani, Arabian, Chinese",11:30am – 3am (Mon-Sun),Chennai opp: Vasanth & co,West Saidapet,3.8,136 votes,200
"DESSERT PARLOR,QUICK BITES",2627,"Bakery, Desserts, Fast Food",9am – 10:30pm (Mon-Sun),Hyderabad,Lingampally,3.4,72 votes,450
QUICK BITES,5305,"North Indian, Chinese, Biryani",12:30pm – 11pm (Mon-Sun),Hyderabad,Dilsukhnagar,3.2,370 votes,300
None,1346,"Bakery, Desserts",9am – 6pm (Mon-Sun),Chennai,Vepery,3.7,41 votes,400
QUICK BITES,2777,"Fast Food, North Indian",11am – 11pm (Mon-Sun),Chennai,Ramapuram,2.8,18 votes,300
QUICK BITES,830,"South Indian, Chettinad, Kerala",11am – 11pm (Mon-Sun),Kochi,Palarivattom,-,,400
CAFÉ,2822,Cafe,6am – 11pm (Mon-Sun),Chennai,Anna Nagar East,4.2,269 votes,300
DESSERT PARLOR,2456,"Desserts, Beverages",12noon – 12midnight (Mon-Sun),Kochi,Kakkanad,3.3,11 votes,250
CASUAL DINING,10211,"North Indian, Mughlai, Chinese, Continental",24 Hours (Mon-Sun),Mumbai,Sakinaka,3.9,718 votes,1800
CASUAL DINING,8260,"Seafood, North Indian, Chinese, Mangalorean","12noon – 3:30pm, 7pm – 12:30AM (Mon-Sun)",Mumbai,Juhu,4.1,1654 votes,1800
BAR,8076,"Finger Food, North Indian, Italian, Mexican, Continental",12noon – 1am (Mon-Sun),Thane,Thane West,4.5,1358 votes,1500
CASUAL DINING,11764,"Arabian, North Indian, Chinese, Fast Food",7am – 12midnight (Mon-Sun),Bangalore,BTM,3.9,477 votes,700
QUICK BITES,7132,"Chinese, North Indian, South Indian","Closed (Mon),11am – 11pm (Tue-Sun)",Bangalore,Bellandur,NEW,,400
None,5681,"Sandwich, Burger, Salad, Juices, Healthy Food",8am – 10pm (Mon-Sun),Mumbai,Khar,NEW,,600
QUICK BITES,841,South Indian,7:30am – 11pm (Mon-Sun),Navi Mumbai,Airoli,3.8,83 votes,200
CASUAL DINING,8979,"North Indian, Mughlai, Chinese",11am – 12midnight (Mon-Sun),Chennai,Anna Nagar East,3.9,410 votes,800
"BEVERAGE SHOP,DESSERT PARLOR",4867,Beverages,"1:34am – 1:35am (Mon),1:37am – 1:38am...",Secunderabad,Uppal,3.5,37 votes,300
"BAKERY,SWEET SHOP",637,"Bakery, Mithai, Fast Food",9am – 10:30pm (Mon-Sun),New Delhi,Shahdara,3.9,197 votes,300
CASUAL DINING,3865,"Biryani, North Indian, Chinese, Rajasthani","11am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",Bangalore,Jayanagar,3.8,367 votes,600
KIOSK,5185,"Fast Food, Momos",11am – 12midnight (Mon-Sun),Chennai,Alwarpet,3.7,72 votes,300
QUICK BITES,7131,"South Indian, Seafood",11am – 10:30pm (Mon-Sun),Bangalore,Malleshwaram,4.0,176 votes,300
CASUAL DINING,11467,"Chinese, North Indian",11am – 12:30AM (Mon-Sun),Mumbai,Colaba,3.8,477 votes,900
FINE DINING,1589,Italian,"12:30pm – 2:45pm, 7pm – 11:45pm (Mon-Sat),12noon...",Gurgaon,MG Road,4.2,141 votes,4000
"DESSERT PARLOR,QUICK BITES",4956,"Ice Cream, Desserts, Fast Food",7am – 4am (Mon-Sun),New Delhi,Main Market Malviya Nagar,4.2,236 votes,700
CASUAL DINING,6433,"Biryani, Hyderabadi, North Indian, Chinese","11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)",Bangalore,Old Madras Road,3.8,275 votes,600
QUICK BITES,7173,"Rolls, North Indian",11am – 11pm (Mon-Sun),Noida,Gamma 1,3.7,619 votes,300
CASUAL DINING,1940,"Seafood, Continental, European, Mediterranean","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",Bangalore,Indiranagar,4.3,89 votes,1500
CASUAL DINING,6003,"Chinese, Tibetan, Momos",12noon – 11pm (Mon-Sun),Bangalore,Brigade Road,3.9,42 votes,500
CASUAL DINING,8140,"North Indian, Mughlai",12noon – 11:30pm (Mon-Sun),Gurgaon,DLF Cyber City,4.3,2339 votes,1500
CASUAL DINING,1896,"Burger, Mediterranean, American, Lebanese, Italian, Pizza","10am – 11:30pm (Mon, Tue, Thu, Fri, Sat), 10am –...",Mumbai,Vile Parle East,4.0,255 votes,600
